Date,Bank RTN,Account Number,Transaction Type,Description,Debit,Credit
12/16/2020,69696969,12345678,CREDIT,Return,,4.56,
12/28/2020,69696969,87654321,DEBIT,ShopRite,19.54,
12/24/2020,69696969,87654321,DEBIT,Water,33.99,
12/22/2020,69696969,87654321,DIRECTDEBIT,Food,44,
12/21/2020,69696969,87654321,DEBIT,Sushi,55.33,
12/21/2020,69696969,87654321,CREDIT,Payment,,2400,
12/18/2020,69696969,87654321,DEBIT,Gum,5.63,
12/18/2020,69696969,87654321,DEBIT,Games,128,
12/18/2020,69696969,87654321,DEBIT,Drone,850.56,
12/18/2020,69696969,87654321,DEBIT,BBQ,22,
12/17/2020,69696969,87654321,DEBIT,Hmart,123,
12/17/2020,69696969,87654321,DEBIT,Drinks,44.34,
12/17/2020,69696969,87654321,DEBIT,Steam Games,67,
